,booktitle,author,rating,voted,score
0,To Kill a Mockingbird,Harper Lee,4.26,"24,848","2,451,081"
1,Pride and Prejudice,Jane Austen,4.29,"15,652","1,528,356"
2,The Diary of a Young Girl,Anne Frank,4.20,"14,958","1,456,676"
3,"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,"14,190","1,396,467"
4,Animal Farm,George Orwell,4.00,"11,446","1,105,110"
5,1984,George Orwell,4.20,"10,836","1,059,642"
6,The Little Prince,Antoine de Saint-Exupéry,4.33,"10,684","1,031,649"
7,The Great Gatsby,F. Scott Fitzgerald,3.93,"9,866","943,707"
8,The Catcher in the Rye,J.D. Salinger,3.80,"9,190","884,097"
9,The Lord of the Rings,J.R.R. Tolkien,4.54,"8,955","850,641"
10,The Book Thief,Markus Zusak,4.39,"8,804","835,807"
11,Jane Eyre,Charlotte Brontë,4.15,"8,376","794,387"
12,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.28,"7,823","742,104"
13,Lord of the Flies,William Golding,3.70,"7,693","724,406"
14,Romeo and Juliet,William Shakespeare,3.74,"7,535","712,091"
15,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,"7,486","702,777"
16,The Kite Runner,Khaled Hosseini,4.35,"7,364","698,809"
17,"The Giver (The Giver, #1)",Lois Lowry,4.12,"7,087","669,419"
18,The Giving Tree,Shel Silverstein,4.38,"6,898","652,260"
19,"Little Women (Little Women, #1)",Louisa May Alcott,4.16,"6,536","601,160"
20,Charlotte’s Web,E.B. White,4.20,"6,457","598,994"
21,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"6,338","596,596"
22,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.29,"6,096","582,980"
23,Fahrenheit 451,Ray Bradbury,3.97,"6,064","569,500"
24,Of Mice and Men,John Steinbeck,3.89,"6,220","567,252"
25,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,"5,924","540,207"
26,Green Eggs and Ham,Dr. Seuss,4.31,"5,740","539,942"
27,Wuthering Heights,Emily Brontë,3.90,"5,777","530,467"
28,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.07,"5,676","524,119"
29,The Picture of Dorian Gray,Oscar Wilde,4.13,"5,719","523,303"
30,Night,Elie Wiesel,4.38,"5,357","504,175"
31,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,"5,118","497,519"
32,Gone with the Wind,Margaret Mitchell,4.31,"5,400","496,552"
33,The Holy Bible: King James Version,Anonymous,4.44,"5,278","496,422"
34,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,"5,460","489,075"
35,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,"5,171","474,972"
36,Hamlet,William Shakespeare,4.02,"5,069","456,155"
37,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,"5,111","450,959"
38,The Adventures of Huckleberry Finn,Mark Twain,3.83,"4,971","447,886"
39,Tolkien On Fairy-stories,J.R.R. Tolkien,4.32,"4,483","429,407"
40,Les Misérables,Victor Hugo,4.21,"4,639","419,734"
41,Brave New World and Brave New World Revisited,Aldous Huxley,4.16,"4,524","413,126"
